,Titulo,Preco
0,A Light in the Attic,£51.77
1,Tipping the Velvet,£53.74
2,Soumission,£50.10
3,Sharp Objects,£47.82
4,Sapiens: A Brief History of Humankind,£54.23
5,The Requiem Red,£22.65
6,The Dirty Little Secrets of Getting Your Dream Job,£33.34
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60
9,The Black Maria,£52.15
10,"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99
11,Shakespeare's Sonnets,£20.66
12,Set Me Free,£17.46
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29
14,Rip it Up and Start Again,£35.02
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25
16,Olio,£23.88
17,Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59
18,Libertarianism for Beginners,£51.33
19,It's Only the Himalayas,£45.17
